"Notes","Cancer Sites","Cancer Sites Code","Year","Year Code","Sex","Sex Code",Count,Population,Age-Adjusted Rate,Age-Adjusted Rate Lower 95% Confidence Interval,Age-Adjusted Rate Upper 95% Confidence Interval,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Colon excluding Rectum","21041-21049","2016","2016","Male","M",51381,160310087,30.0,29.7,30.3,32.1,31.8,32.3
,"Colon excluding Rectum","21041-21049","2017","2017","Female","F",51120,165084845,24.9,24.7,25.1,31.0,30.7,31.2
,"Colon excluding Rectum","21041-21049","2017","2017","Male","M",51636,161530177,29.5,29.3,29.8,32.0,31.7,32.2
,"Colon excluding Rectum","21041-21049","2018","2018","Female","F",51683,165957528,24.9,24.6,25.1,31.1,30.9,31.4
,"Colon excluding Rectum","21041-21049","2018","2018","Male","M",52663,162577729,29.6,29.3,29.8,32.4,32.1,32.7
,"Colon excluding Rectum","21041-21049","2019","2019","Female","F",51644,166720399,24.5,24.3,24.7,31.0,30.7,31.2
,"Colon excluding Rectum","21041-21049","2019","2019","Male","M",52939,163511718,29.1,28.8,29.3,32.4,32.1,32.7
,"Colon excluding Rectum","21041-21049","2020","2020","Female","F",46666,167308759,22.0,21.8,22.2,27.9,27.6,28.1
,"Colon excluding Rectum","21041-21049","2020","2020","Male","M",47480,164218174,25.7,25.5,26.0,28.9,28.7,29.2
,"Colon excluding Rectum","21041-21049","2021","2021","Female","F",51463,167630750,24.0,23.8,24.2,30.7,30.4,31.0
,"Colon excluding Rectum","21041-21049","2021","2021","Male","M",52258,164418227,28.0,27.7,28.2,31.8,31.5,32.1
,"Colon excluding Rectum","21041-21049","2022","2022","Female","F",50849,168308005,23.5,23.3,23.7,30.2,29.9,30.5
,"Colon excluding Rectum","21041-21049","2022","2022","Male","M",52185,164963406,27.5,27.3,27.7,31.6,31.4,31.9
,"Cecum","21041","1999","1999","Female","F",13284,140394214,8.4,8.2,8.5,9.5,9.3,9.6
,"Cecum","21041","1999","1999","Male","M",10566,135067134,9.5,9.3,9.7,7.8,7.7,8.0
,"Cecum","21041","2000","2000","Female","F",13627,141865770,8.5,8.3,8.6,9.6,9.4,9.8
,"Cecum","21041","2000","2000","Male","M",10506,136692444,9.3,9.1,9.5,7.7,7.5,7.8
,"Cecum","21041","2001","2001","Female","F",13786,143603977,8.5,8.3,8.6,9.6,9.4,9.8
,"Cecum","21041","2001","2001","Male","M",10754,138511984,9.3,9.1,9.5,7.8,7.6,7.9
,"Cecum","21041","2002","2002","Female","F",13522,144919222,8.2,8.0,8.3,9.3,9.2,9.5
,"Cecum","21041","2002","2002","Male","M",10666,139847290,9.0,8.8,9.2,7.6,7.5,7.8
,"Cecum","21041","2003","2003","Female","F",13430,147679036,8.0,7.8,8.1,9.1,8.9,9.2
,"Cecum","21041","2003","2003","Male","M",10625,142428897,8.7,8.5,8.9,7.5,7.3,7.6
,"Cecum","21041","2004","2004","Female","F",13219,148977286,7.7,7.6,7.9,8.9,8.7,9.0
,"Cecum","21041","2004","2004","Male","M",10567,143828012,8.4,8.3,8.6,7.3,7.2,7.5
,"Cecum","21041","2005","2005","Female","F",13203,150213467,7.6,7.5,7.8,8.8,8.6,8.9
,"Cecum","21041","2005","2005","Male","M",10453,145099195,8.2,8.0,8.3,7.2,7.1,7.3
,"Cecum","21041","2006","2006","Female","F",13145,151732647,7.5,7.4,7.6,8.7,8.5,8.8
,"Cecum","21041","2006","2006","Male","M",10330,146647265,7.9,7.7,8.0,7.0,6.9,7.2
,"Cecum","21041","2007","2007","Female","F",13015,153166353,7.3,7.2,7.4,8.5,8.4,8.6
,"Cecum","21041","2007","2007","Male","M",10304,148064854,7.6,7.5,7.8,7.0,6.8,7.1
,"Cecum","21041","2008","2008","Female","F",12809,154604015,7.0,6.9,7.2,8.3,8.1,8.4
,"Cecum","21041","2008","2008","Male","M",10126,149489951,7.4,7.2,7.5,6.8,6.6,6.9
,"Cecum","21041","2009","2009","Female","F",12338,155964075,6.7,6.6,6.8,7.9,7.8,8.1
,"Cecum","21041","2009","2009","Male","M",9606,150807454,6.8,6.7,6.9,6.4,6.2,6.5
,"Cecum","21041","2010","2010","Female","F",12057,157253830,6.4,6.3,6.5,7.7,7.5,7.8
,"Cecum","21041","2010","2010","Male","M",9537,152125599,6.6,6.4,6.7,6.3,6.1,6.4
,"Cecum","21041","2011","2011","Female","F",11886,158391404,6.2,6.1,6.3,7.5,7.4,7.6
,"Cecum","21041","2011","2011","Male","M",9746,153455676,6.6,6.4,6.7,6.4,6.2,6.5
,"Cecum","21041","2012","2012","Female","F",11896,159515612,6.1,6.0,6.3,7.5,7.3,7.6
,"Cecum","21041","2012","2012","Male","M",9400,154834274,6.1,6.0,6.3,6.1,5.9,6.2
,"Cecum","21041","2013","2013","Female","F",11611,160594100,5.9,5.8,6.0,7.2,7.1,7.4
,"Cecum","21041","2013","2013","Male","M",9726,156146649,6.2,6.1,6.3,6.2,6.1,6.4
,"Cecum","21041","2014","2014","Female","F",11527,161749260,5.8,5.7,5.9,7.1,7.0,7.3
,"Cecum","21041","2014","2014","Male","M",9527,157523496,5.9,5.8,6.0,6.0,5.9,6.2
,"Cecum","21041","2015","2015","Female","F",11301,162903023,5.6,5.5,5.7,6.9,6.8,7.1
,"Cecum","21041","2015","2015","Male","M",9612,158933091,5.8,5.7,6.0,6.0,5.9,6.2
,"Cecum","21041","2016","2016","Female","F",11417,164062463,5.5,5.4,5.6,7.0,6.8,7.1
,"Cecum","21041","2016","2016","Male","M",9322,160310087,5.5,5.4,5.6,5.8,5.7,5.9
,"Cecum","21041","2017","2017","Female","F",11259,165084845,5.3,5.2,5.5,6.8,6.7,6.9
,"Cecum","21041","2017","2017","Male","M",9245,161530177,5.4,5.2,5.5,5.7,5.6,5.8
,"Cecum","21041","2018","2018","Female","F",11099,165957528,5.2,5.1,5.3,6.7,6.6,6.8
,"Cecum","21041","2018","2018","Male","M",9363,162577729,5.3,5.2,5.4,5.8,5.6,5.9
,"Cecum","21041","2019","2019","Female","F",11200,166720399,5.1,5.0,5.2,6.7,6.6,6.8
,"Cecum","21041","2019","2019","Male","M",9641,163511718,5.3,5.2,5.5,5.9,5.8,6.0
,"Cecum","21041","2020","2020","Female","F",9800,167308759,4.4,4.4,4.5,5.9,5.7,6.0
,"Cecum","21041","2020","2020","Male","M",8215,164218174,4.5,4.4,4.6,5.0,4.9,5.1
,"Cecum","21041","2021","2021","Female","F",10775,167630750,4.8,4.7,4.9,6.4,6.3,6.6
,"Cecum","21041","2021","2021","Male","M",9198,164418227,4.9,4.8,5.0,5.6,5.5,5.7
,"Cecum","21041","2022","2022","Female","F",10407,168308005,4.6,4.5,4.7,6.2,6.1,6.3
,"Cecum","21041","2022","2022","Male","M",8802,164963406,4.6,4.5,4.7,5.3,5.2,5.4
,"Appendix","21042","1999","1999","Female","F",706,140394214,0.5,0.4,0.5,0.5,0.5,0.5
,"Appendix","21042","1999","1999","Male","M",641,135067134,0.5,0.5,0.6,0.5,0.4,0.5
,"Appendix","21042","2000","2000","Female","F",740,141865770,0.5,0.5,0.5,0.5,0.5,0.6
,"Appendix","21042","2000","2000","Male","M",656,136692444,0.5,0.5,0.6,0.5,0.4,0.5
,"Appendix","21042","2001","2001","Female","F",815,143603977,0.5,0.5,0.6,0.6,0.5,0.6
,"Appendix","21042","2001","2001","Male","M",733,138511984,0.6,0.5,0.6,0.5,0.5,0.6
,"Appendix","21042","2002","2002","Female","F",921,144919222,0.6,0.6,0.6,0.6,0.6,0.7
,"Appendix","21042","2002","2002","Male","M",829,139847290,0.6,0.6,0.7,0.6,0.6,0.6
,"Appendix","21042","2003","2003","Female","F",913,147679036,0.6,0.5,0.6,0.6,0.6,0.7
,"Appendix","21042","2003","2003","Male","M",835,142428897,0.6,0.6,0.7,0.6,0.5,0.6
,"Appendix","21042","2004","2004","Female","F",1005,148977286,0.6,0.6,0.7,0.7,0.6,0.7
,"Appendix","21042","2004","2004","Male","M",882,143828012,0.6,0.6,0.7,0.6,0.6,0.7
,"Appendix","21042","2005","2005","Female","F",1067,150213467,0.7,0.6,0.7,0.7,0.7,0.8
,"Appendix","21042","2005","2005","Male","M",942,145099195,0.7,0.6,0.7,0.6,0.6,0.7
,"Appendix","21042","2006","2006","Female","F",1186,151732647,0.7,0.7,0.8,0.8,0.7,0.8
,"Appendix","21042","2006","2006","Male","M",1052,146647265,0.7,0.7,0.8,0.7,0.7,0.8
,"Appendix","21042","2007","2007","Female","F",1171,153166353,0.7,0.7,0.7,0.8,0.7,0.8
,"Appendix","21042","2007","2007","Male","M",1105,148064854,0.7,0.7,0.8,0.7,0.7,0.8
,"Appendix","21042","2008","2008","Female","F",1337,154604015,0.8,0.7,0.8,0.9,0.8,0.9
,"Appendix","21042","2008","2008","Male","M",1117,149489951,0.7,0.7,0.8,0.7,0.7,0.8
,"Appendix","21042","2009","2009","Female","F",1354,155964075,0.8,0.7,0.8,0.9,0.8,0.9
,"Appendix","21042","2009","2009","Male","M",1153,150807454,0.8,0.7,0.8,0.8,0.7,0.8
,"Appendix","21042","2010","2010","Female","F",1563,157253830,0.9,0.8,0.9,1.0,0.9,1.0
,"Appendix","21042","2010","2010","Male","M",1326,152125599,0.9,0.8,0.9,0.9,0.8,0.9
,"Appendix","21042","2011","2011","Female","F",1674,158391404,0.9,0.9,1.0,1.1,1.0,1.1
,"Appendix","21042","2011","2011","Male","M",1404,153455676,0.9,0.8,0.9,0.9,0.9,1.0
,"Appendix","21042","2012","2012","Female","F",1814,159515612,1.0,1.0,1.1,1.1,1.1,1.2
,"Appendix","21042","2012","2012","Male","M",1608,154834274,1.0,0.9,1.0,1.0,1.0,1.1
,"Appendix","21042","2013","2013","Female","F",2013,160594100,1.1,1.1,1.2,1.3,1.2,1.3
,"Appendix","21042","2013","2013","Male","M",1594,156146649,1.0,0.9,1.0,1.0,1.0,1.1
,"Appendix","21042","2014","2014","Female","F",2371,161749260,1.3,1.3,1.4,1.5,1.4,1.5
,"Appendix","21042","2014","2014","Male","M",1926,157523496,1.1,1.1,1.2,1.2,1.2,1.3
,"Appendix","21042","2015","2015","Female","F",3048,162903023,1.7,1.7,1.8,1.9,1.8,1.9
,"Appendix","21042","2015","2015","Male","M",2471,158933091,1.5,1.4,1.5,1.6,1.5,1.6
,"Appendix","21042","2016","2016","Female","F",3413,164062463,1.9,1.8,2.0,2.1,2.0,2.2
,"Appendix","21042","2016","2016","Male","M",2590,160310087,1.5,1.4,1.6,1.6,1.6,1.7
,"Appendix","21042","2017","2017","Female","F",3493,165084845,1.9,1.9,2.0,2.1,2.0,2.2
,"Appendix","21042","2017","2017","Male","M",2741,161530177,1.6,1.5,1.7,1.7,1.6,1.8
,"Appendix","21042","2018","2018","Female","F",3651,165957528,2.0,1.9,2.1,2.2,2.1,2.3
,"Appendix","21042","2018","2018","Male","M",2779,162577729,1.6,1.5,1.6,1.7,1.6,1.8
,"Appendix","21042","2019","2019","Female","F",3711,166720399,2.0,1.9,2.1,2.2,2.2,2.3
,"Appendix","21042","2019","2019","Male","M",2912,163511718,1.6,1.6,1.7,1.8,1.7,1.8
,"Appendix","21042","2020","2020","Female","F",3660,167308759,2.0,1.9,2.0,2.2,2.1,2.3
,"Appendix","21042","2020","2020","Male","M",2833,164218174,1.6,1.5,1.6,1.7,1.7,1.8
,"Appendix","21042","2021","2021","Female","F",3969,167630750,2.1,2.1,2.2,2.4,2.3,2.4
,"Appendix","21042","2021","2021","Male","M",2876,164418227,1.6,1.5,1.6,1.7,1.7,1.8
,"Appendix","21042","2022","2022","Female","F",4240,168308005,2.2,2.2,2.3,2.5,2.4,2.6
,"Appendix","21042","2022","2022","Male","M",3210,164963406,1.8,1.7,1.8,1.9,1.9,2.0
,"Ascending Colon","21043","1999","1999","Female","F",10202,140394214,6.4,6.3,6.5,7.3,7.1,7.4
,"Ascending Colon","21043","1999","1999","Male","M",8331,135067134,7.5,7.3,7.6,6.2,6.0,6.3
,"Ascending Colon","21043","2000","2000","Female","F",10631,141865770,6.6,6.5,6.7,7.5,7.4,7.6
,"Ascending Colon","21043","2000","2000","Male","M",8556,136692444,7.5,7.4,7.7,6.3,6.1,6.4
,"Ascending Colon","21043","2001","2001","Female","F",10766,143603977,6.6,6.5,6.7,7.5,7.4,7.6
,"Ascending Colon","21043","2001","2001","Male","M",8762,138511984,7.6,7.4,7.7,6.3,6.2,6.5
,"Ascending Colon","21043","2002","2002","Female","F",10874,144919222,6.6,6.5,6.7,7.5,7.4,7.6
,"Ascending Colon","21043","2002","2002","Male","M",8859,139847290,7.5,7.3,7.6,6.3,6.2,6.5
,"Ascending Colon","21043","2003","2003","Female","F",11416,147679036,6.8,6.6,6.9,7.7,7.6,7.9
,"Ascending Colon","21043","2003","2003","Male","M",9360,142428897,7.7,7.5,7.8,6.6,6.4,6.7
,"Ascending Colon","21043","2004","2004","Female","F",11379,148977286,6.7,6.5,6.8,7.6,7.5,7.8
,"Ascending Colon","21043","2004","2004","Male","M",9444,143828012,7.6,7.4,7.7,6.6,6.4,6.7
,"Ascending Colon","21043","2005","2005","Female","F",11257,150213467,6.5,6.4,6.6,7.5,7.4,7.6
,"Ascending Colon","21043","2005","2005","Male","M",9468,145099195,7.4,7.3,7.6,6.5,6.4,6.7
,"Ascending Colon","21043","2006","2006","Female","F",11115,151732647,6.3,6.2,6.5,7.3,7.2,7.5
,"Ascending Colon","21043","2006","2006","Male","M",9170,146647265,7.0,6.9,7.2,6.3,6.1,6.4
,"Ascending Colon","21043","2007","2007","Female","F",11088,153166353,6.2,6.1,6.3,7.2,7.1,7.4
,"Ascending Colon","21043","2007","2007","Male","M",9303,148064854,6.9,6.8,7.1,6.3,6.2,6.4
,"Ascending Colon","21043","2008","2008","Female","F",11187,154604015,6.2,6.1,6.3,7.2,7.1,7.4
,"Ascending Colon","21043","2008","2008","Male","M",9433,149489951,6.9,6.7,7.0,6.3,6.2,6.4
,"Ascending Colon","21043","2009","2009","Female","F",11057,155964075,6.0,5.9,6.1,7.1,7.0,7.2
,"Ascending Colon","21043","2009","2009","Male","M",9188,150807454,6.5,6.4,6.6,6.1,6.0,6.2
,"Ascending Colon","21043","2010","2010","Female","F",10667,157253830,5.7,5.6,5.8,6.8,6.7,6.9
,"Ascending Colon","21043","2010","2010","Male","M",8961,152125599,6.2,6.1,6.4,5.9,5.8,6.0
,"Ascending Colon","21043","2011","2011","Female","F",10625,158391404,5.6,5.5,5.7,6.7,6.6,6.8
,"Ascending Colon","21043","2011","2011","Male","M",9014,153455676,6.1,6.0,6.2,5.9,5.8,6.0
,"Ascending Colon","21043","2012","2012","Female","F",10384,159515612,5.4,5.3,5.5,6.5,6.4,6.6
,"Ascending Colon","21043","2012","2012","Male","M",9021,154834274,5.9,5.8,6.1,5.8,5.7,5.9
,"Ascending Colon","21043","2013","2013","Female","F",10429,160594100,5.3,5.2,5.4,6.5,6.4,6.6
,"Ascending Colon","21043","2013","2013","Male","M",9023,156146649,5.8,5.7,5.9,5.8,5.7,5.9
,"Ascending Colon","21043","2014","2014","Female","F",10443,161749260,5.2,5.1,5.3,6.5,6.3,6.6
,"Ascending Colon","21043","2014","2014","Male","M",9072,157523496,5.6,5.5,5.8,5.8,5.6,5.9
,"Ascending Colon","21043","2015","2015","Female","F",10464,162903023,5.2,5.1,5.3,6.4,6.3,6.5
,"Ascending Colon","21043","2015","2015","Male","M",9273,158933091,5.7,5.5,5.8,5.8,5.7,6.0
,"Ascending Colon","21043","2016","2016","Female","F",10637,164062463,5.2,5.1,5.3,6.5,6.4,6.6
,"Ascending Colon","21043","2016","2016","Male","M",9063,160310087,5.4,5.3,5.5,5.7,5.5,5.8
,"Ascending Colon","21043","2017","2017","Female","F",10341,165084845,4.9,4.8,5.0,6.3,6.1,6.4
,"Ascending Colon","21043","2017","2017","Male","M",9105,161530177,5.3,5.2,5.4,5.6,5.5,5.8
,"Ascending Colon","21043","2018","2018","Female","F",10567,165957528,4.9,4.8,5.0,6.4,6.2,6.5
,"Ascending Colon","21043","2018","2018","Male","M",9212,162577729,5.2,5.1,5.3,5.7,5.6,5.8
,"Ascending Colon","21043","2019","2019","Female","F",10429,166720399,4.8,4.7,4.9,6.3,6.1,6.4
,"Ascending Colon","21043","2019","2019","Male","M",9229,163511718,5.1,5.0,5.2,5.6,5.5,5.8
,"Ascending Colon","21043","2020","2020","Female","F",9358,167308759,4.2,4.1,4.3,5.6,5.5,5.7
,"Ascending Colon","21043","2020","2020","Male","M",8203,164218174,4.5,4.4,4.6,5.0,4.9,5.1
,"Ascending Colon","21043","2021","2021","Female","F",10246,167630750,4.6,4.5,4.7,6.1,6.0,6.2
,"Ascending Colon","21043","2021","2021","Male","M",8889,164418227,4.8,4.7,4.9,5.4,5.3,5.5
,"Ascending Colon","21043","2022","2022","Female","F",10060,168308005,4.4,4.3,4.5,6.0,5.9,6.1
,"Ascending Colon","21043","2022","2022","Male","M",8876,164963406,4.7,4.6,4.8,5.4,5.3,5.5
,"Hepatic Flexure","21044","1999","1999","Female","F",2912,140394214,1.8,1.8,1.9,2.1,2.0,2.2
,"Hepatic Flexure","21044","1999","1999","Male","M",2773,135067134,2.5,2.4,2.6,2.1,2.0,2.1
,"Hepatic Flexure","21044","2000","2000","Female","F",2941,141865770,1.8,1.8,1.9,2.1,2.0,2.1
,"Hepatic Flexure","21044","2000","2000","Male","M",2839,136692444,2.5,2.4,2.6,2.1,2.0,2.2
,"Hepatic Flexure","21044","2001","2001","Female","F",3031,143603977,1.9,1.8,1.9,2.1,2.0,2.2
,"Hepatic Flexure","21044","2001","2001","Male","M",2845,138511984,2.4,2.4,2.5,2.1,2.0,2.1
,"Hepatic Flexure","21044","2002","2002","Female","F",2972,144919222,1.8,1.7,1.9,2.1,2.0,2.1
,"Hepatic Flexure","21044","2002","2002","Male","M",2887,139847290,2.4,2.3,2.5,2.1,2.0,2.1
,"Hepatic Flexure","21044","2003","2003","Female","F",2854,147679036,1.7,1.6,1.8,1.9,1.9,2.0
,"Hepatic Flexure","21044","2003","2003","Male","M",2912,142428897,2.4,2.3,2.5,2.0,2.0,2.1
,"Hepatic Flexure","21044","2004","2004","Female","F",2797,148977286,1.6,1.6,1.7,1.9,1.8,1.9
,"Hepatic Flexure","21044","2004","2004","Male","M",2793,143828012,2.2,2.1,2.3,1.9,1.9,2.0
,"Hepatic Flexure","21044","2005","2005","Female","F",2769,150213467,1.6,1.5,1.7,1.8,1.8,1.9
,"Hepatic Flexure","21044","2005","2005","Male","M",2594,145099195,2.0,2.0,2.1,1.8,1.7,1.9
,"Hepatic Flexure","21044","2006","2006","Female","F",2881,151732647,1.6,1.6,1.7,1.9,1.8,2.0
,"Hepatic Flexure","21044","2006","2006","Male","M",2692,146647265,2.1,2.0,2.1,1.8,1.8,1.9
,"Hepatic Flexure","21044","2007","2007","Female","F",2632,153166353,1.5,1.4,1.5,1.7,1.7,1.8
,"Hepatic Flexure","21044","2007","2007","Male","M",2700,148064854,2.0,1.9,2.1,1.8,1.8,1.9
,"Hepatic Flexure","21044","2008","2008","Female","F",2674,154604015,1.5,1.4,1.5,1.7,1.7,1.8
,"Hepatic Flexure","21044","2008","2008","Male","M",2619,149489951,1.9,1.8,2.0,1.8,1.7,1.8
,"Hepatic Flexure","21044","2009","2009","Female","F",2478,155964075,1.4,1.3,1.4,1.6,1.5,1.7
,"Hepatic Flexure","21044","2009","2009","Male","M",2485,150807454,1.8,1.7,1.8,1.6,1.6,1.7
,"Hepatic Flexure","21044","2010","2010","Female","F",2288,157253830,1.2,1.2,1.3,1.5,1.4,1.5
,"Hepatic Flexure","21044","2010","2010","Male","M",2356,152125599,1.6,1.6,1.7,1.5,1.5,1.6
,"Hepatic Flexure","21044","2011","2011","Female","F",2325,158391404,1.2,1.2,1.3,1.5,1.4,1.5
,"Hepatic Flexure","21044","2011","2011","Male","M",2343,153455676,1.6,1.5,1.7,1.5,1.5,1.6
,"Hepatic Flexure","21044","2012","2012","Female","F",2088,159515612,1.1,1.0,1.1,1.3,1.3,1.4
,"Hepatic Flexure","21044","2012","2012","Male","M",2231,154834274,1.5,1.4,1.5,1.4,1.4,1.5
,"Hepatic Flexure","21044","2013","2013","Female","F",2170,160594100,1.1,1.1,1.2,1.4,1.3,1.4
,"Hepatic Flexure","21044","2013","2013","Male","M",2321,156146649,1.5,1.4,1.6,1.5,1.4,1.5
,"Hepatic Flexure","21044","2014","2014","Female","F",2178,161749260,1.1,1.1,1.1,1.3,1.3,1.4
,"Hepatic Flexure","21044","2014","2014","Male","M",2238,157523496,1.4,1.3,1.5,1.4,1.4,1.5
,"Hepatic Flexure","21044","2015","2015","Female","F",2163,162903023,1.1,1.0,1.1,1.3,1.3,1.4
,"Hepatic Flexure","21044","2015","2015","Male","M",2284,158933091,1.4,1.3,1.5,1.4,1.4,1.5
,"Hepatic Flexure","21044","2016","2016","Female","F",2138,164062463,1.0,1.0,1.1,1.3,1.2,1.4
,"Hepatic Flexure","21044","2016","2016","Male","M",2293,160310087,1.4,1.3,1.4,1.4,1.4,1.5
,"Hepatic Flexure","21044","2017","2017","Female","F",2104,165084845,1.0,1.0,1.0,1.3,1.2,1.3
,"Hepatic Flexure","21044","2017","2017","Male","M",2295,161530177,1.3,1.3,1.4,1.4,1.4,1.5
,"Hepatic Flexure","21044","2018","2018","Female","F",2197,165957528,1.0,1.0,1.1,1.3,1.3,1.4
,"Hepatic Flexure","21044","2018","2018","Male","M",2292,162577729,1.3,1.2,1.4,1.4,1.4,1.5
,"Hepatic Flexure","21044","2019","2019","Female","F",2164,166720399,1.0,1.0,1.0,1.3,1.2,1.4
,"Hepatic Flexure","21044","2019","2019","Male","M",2400,163511718,1.3,1.3,1.4,1.5,1.4,1.5
,"Hepatic Flexure","21044","2020","2020","Female","F",2001,167308759,0.9,0.9,0.9,1.2,1.1,1.2
,"Hepatic Flexure","21044","2020","2020","Male","M",2185,164218174,1.2,1.1,1.2,1.3,1.3,1.4
,"Hepatic Flexure","21044","2021","2021","Female","F",2253,167630750,1.0,1.0,1.0,1.3,1.3,1.4
,"Hepatic Flexure","21044","2021","2021","Male","M",2347,164418227,1.3,1.2,1.3,1.4,1.4,1.5
,"Hepatic Flexure","21044","2022","2022","Female","F",2320,168308005,1.0,1.0,1.1,1.4,1.3,1.4
,"Hepatic Flexure","21044","2022","2022","Male","M",2451,164963406,1.3,1.2,1.3,1.5,1.4,1.5
,"Transverse Colon","21045","1999","1999","Female","F",5140,140394214,3.2,3.2,3.3,3.7,3.6,3.8
,"Transverse Colon","21045","1999","1999","Male","M",4353,135067134,3.9,3.7,4.0,3.2,3.1,3.3
,"Transverse Colon","21045","2000","2000","Female","F",5159,141865770,3.2,3.1,3.3,3.6,3.5,3.7
,"Transverse Colon","21045","2000","2000","Male","M",4418,136692444,3.8,3.7,4.0,3.2,3.1,3.3
,"Transverse Colon","21045","2001","2001","Female","F",5316,143603977,3.3,3.2,3.4,3.7,3.6,3.8
,"Transverse Colon","21045","2001","2001","Male","M",4573,138511984,3.9,3.8,4.0,3.3,3.2,3.4
,"Transverse Colon","21045","2002","2002","Female","F",5135,144919222,3.1,3.0,3.2,3.5,3.4,3.6
,"Transverse Colon","21045","2002","2002","Male","M",4445,139847290,3.7,3.6,3.8,3.2,3.1,3.3
,"Transverse Colon","21045","2003","2003","Female","F",5192,147679036,3.1,3.0,3.2,3.5,3.4,3.6
,"Transverse Colon","21045","2003","2003","Male","M",4594,142428897,3.7,3.6,3.8,3.2,3.1,3.3
,"Transverse Colon","21045","2004","2004","Female","F",5062,148977286,3.0,2.9,3.1,3.4,3.3,3.5
,"Transverse Colon","21045","2004","2004","Male","M",4509,143828012,3.6,3.5,3.7,3.1,3.0,3.2
,"Transverse Colon","21045","2005","2005","Female","F",5033,150213467,2.9,2.8,3.0,3.4,3.3,3.4
,"Transverse Colon","21045","2005","2005","Male","M",4529,145099195,3.5,3.4,3.6,3.1,3.0,3.2
,"Transverse Colon","21045","2006","2006","Female","F",5068,151732647,2.9,2.8,3.0,3.3,3.2,3.4
,"Transverse Colon","21045","2006","2006","Male","M",4451,146647265,3.4,3.3,3.5,3.0,2.9,3.1
,"Transverse Colon","21045","2007","2007","Female","F",5062,153166353,2.8,2.8,2.9,3.3,3.2,3.4
,"Transverse Colon","21045","2007","2007","Male","M",4645,148064854,3.4,3.3,3.5,3.1,3.0,3.2
,"Transverse Colon","21045","2008","2008","Female","F",5044,154604015,2.8,2.7,2.9,3.3,3.2,3.4
,"Transverse Colon","21045","2008","2008","Male","M",4629,149489951,3.3,3.2,3.4,3.1,3.0,3.2
,"Transverse Colon","21045","2009","2009","Female","F",4898,155964075,2.7,2.6,2.7,3.1,3.1,3.2
,"Transverse Colon","21045","2009","2009","Male","M",4726,150807454,3.3,3.2,3.4,3.1,3.0,3.2
,"Transverse Colon","21045","2010","2010","Female","F",4779,157253830,2.6,2.5,2.6,3.0,3.0,3.1
,"Transverse Colon","21045","2010","2010","Male","M",4500,152125599,3.1,3.0,3.2,3.0,2.9,3.0
,"Transverse Colon","21045","2011","2011","Female","F",4607,158391404,2.4,2.4,2.5,2.9,2.8,3.0
,"Transverse Colon","21045","2011","2011","Male","M",4457,153455676,3.0,2.9,3.1,2.9,2.8,3.0
,"Transverse Colon","21045","2012","2012","Female","F",4700,159515612,2.4,2.4,2.5,2.9,2.9,3.0
,"Transverse Colon","21045","2012","2012","Male","M",4420,154834274,2.9,2.8,3.0,2.9,2.8,2.9
,"Transverse Colon","21045","2013","2013","Female","F",4907,160594100,2.5,2.4,2.6,3.1,3.0,3.1
,"Transverse Colon","21045","2013","2013","Male","M",4459,156146649,2.8,2.8,2.9,2.9,2.8,2.9
,"Transverse Colon","21045","2014","2014","Female","F",4826,161749260,2.4,2.4,2.5,3.0,2.9,3.1
,"Transverse Colon","21045","2014","2014","Male","M",4761,157523496,2.9,2.9,3.0,3.0,2.9,3.1
,"Transverse Colon","21045","2015","2015","Female","F",4746,162903023,2.4,2.3,2.4,2.9,2.8,3.0
,"Transverse Colon","21045","2015","2015","Male","M",4625,158933091,2.8,2.7,2.9,2.9,2.8,3.0
,"Transverse Colon","21045","2016","2016","Female","F",4886,164062463,2.4,2.3,2.5,3.0,2.9,3.1
,"Transverse Colon","21045","2016","2016","Male","M",4815,160310087,2.9,2.8,2.9,3.0,2.9,3.1
,"Transverse Colon","21045","2017","2017","Female","F",4860,165084845,2.3,2.3,2.4,2.9,2.9,3.0
,"Transverse Colon","21045","2017","2017","Male","M",4899,161530177,2.8,2.8,2.9,3.0,2.9,3.1
,"Transverse Colon","21045","2018","2018","Female","F",4887,165957528,2.3,2.2,2.4,2.9,2.9,3.0
,"Transverse Colon","21045","2018","2018","Male","M",5035,162577729,2.9,2.8,2.9,3.1,3.0,3.2
,"Transverse Colon","21045","2019","2019","Female","F",4907,166720399,2.3,2.2,2.4,2.9,2.9,3.0
,"Transverse Colon","21045","2019","2019","Male","M",4945,163511718,2.7,2.7,2.8,3.0,2.9,3.1
,"Transverse Colon","21045","2020","2020","Female","F",4360,167308759,2.0,1.9,2.1,2.6,2.5,2.7
,"Transverse Colon","21045","2020","2020","Male","M",4583,164218174,2.5,2.4,2.6,2.8,2.7,2.9
,"Transverse Colon","21045","2021","2021","Female","F",4987,167630750,2.2,2.2,2.3,3.0,2.9,3.1
,"Transverse Colon","21045","2021","2021","Male","M",4940,164418227,2.6,2.6,2.7,3.0,2.9,3.1
,"Transverse Colon","21045","2022","2022","Female","F",4823,168308005,2.2,2.1,2.2,2.9,2.8,2.9
,"Transverse Colon","21045","2022","2022","Male","M",5063,164963406,2.7,2.6,2.7,3.1,3.0,3.2
